NCBI Accession,type,proportion,number of bp
NC_021190.1,virus,8.03E-05,1606.993119
NC_024206.1,virus,0.000201362,4027.246517
NC_024329.1,virus,0.000140483,2809.653445
NC_027118.1,virus,4.39E-05,877.5859494
NC_027119.1,virus,0.000159091,3181.823403
NC_027120.1,virus,5.35E-05,1070.562964
NC_027125.1,virus,0.000345176,6903.522979
NC_027130.1,virus,0.000594438,11888.76253
NC_027132.1,virus,0.000490139,9802.772896
NC_027204.1,virus,0.000314736,6294.726444
NC_027292.1,virus,3.06E-05,611.093881
NC_027293.1,virus,0.000224336,4486.7156
NC_027294.1,virus,1.34E-05,268.7894138
NC_027295.1,virus,7.81E-06,156.2194884
NC_027296.1,virus,5.53E-05,1105.023146
NC_027297.1,virus,0.000187349,3746.970376
NC_027299.1,virus,4.95E-05,990.1558749
NC_027329.1,virus,8.95E-05,1789.63208
NC_027330.1,virus,2.68E-05,535.2814822
NC_027331.1,virus,0.00031577,6315.402552
NC_027332.1,virus,0.000385839,7716.783257
NC_027333.1,virus,9.99E-06,199.8690513
NC_027334.1,virus,2.39E-05,477.8478468
NC_027335.1,virus,0.00038113,7622.592095
NC_027336.1,virus,6.32E-06,126.353998
NC_027337.1,virus,0.000102117,2042.340076
NC_027339.1,virus,6.15E-05,1229.079798
NC_027340.1,virus,0.000206072,4121.437679
NC_027341.1,virus,0.000740262,14805.24254
NC_027342.1,virus,3.74E-05,748.9346061
NC_027344.1,virus,0.000652618,13052.36799
NC_027345.1,virus,2.19E-05,438.7929747
NC_027346.1,virus,1.38E-05,275.6814501
NC_027348.2,virus,5.46E-05,1091.239073
NC_027349.1,virus,0.000386988,7739.756711
NC_027350.1,virus,6.93E-05,1385.299287
NC_027351.1,virus,0.000357467,7149.338939
NC_027352.1,virus,0.000252019,5040.375846
NC_027354.1,virus,1.39E-05,277.9787955
NC_027355.1,virus,0.00041536,8307.201029
NC_027356.1,virus,0.000139793,2795.869373
NC_027357.1,virus,6.43E-06,128.6513434
